model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_window_size,ffn_lut_build
meta-llama/Llama-2-13b-hf,nlp,16044.512311719876,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,18.63655730438133,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.0168479145240665,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.264330048693085,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.210673864437238,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.247513773024392,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,7.006712111477174,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,142.95330299458004,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,2344.6067299649344,vlp,False,True,CustomSoftmax,VLPSilu,10,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,67719.26174454065,vlp,False,True,CustomSoftmax,VLPSilu,10,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,130247.12328798922,vlp,False,True,CustomSoftmax,VLPSilu,10,4,2,256,min
meta-llama/Llama-2-13b-hf,nlp,11816.395888516552,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,18.218559624068966,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.01486937979315,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.267046502424994,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.217355311722044,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.280671529249405,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,8.131001867328298,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,188.8695718268251,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,2532.5469425906526,vlp,False,True,CustomSoftmax,VLPSilu,11,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,69767.64109993224,vlp,False,True,CustomSoftmax,VLPSilu,11,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,132930.96353354093,vlp,False,True,CustomSoftmax,VLPSilu,11,4,2,256,min
meta-llama/Llama-2-13b-hf,nlp,10196.514991043432,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,18.183180298662258,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.205785702185601,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.396093036544901,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.33701368579961,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.412632344565788,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,8.884977018538354,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,208.1647314420608,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,2483.219877154634,vlp,False,True,CustomSoftmax,VLPSilu,12,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,68918.97361336129,vlp,False,True,CustomSoftmax,VLPSilu,12,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,129124.03687786244,vlp,False,True,CustomSoftmax,VLPSilu,12,4,2,256,min
meta-llama/Llama-2-13b-hf,nlp,20230.972809596315,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,23.811266219157478,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.04006301550785,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.3062743060151805,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.240769526404706,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.230592896947259,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,5.3611090117606715,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,23.79470068030159,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,1058.7945085708739,vlp,False,True,CustomSoftmax,VLPSilu,8,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,63955.954651009444,vlp,False,True,CustomSoftmax,VLPSilu,8,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,135648.55248761066,vlp,False,True,CustomSoftmax,VLPSilu,8,4,2,256,min
meta-llama/Llama-2-13b-hf,nlp,15706.756612701824,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,20.402772048869664,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.021483440955387,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.268913334650311,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.2124498792157095,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.215518373546616,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,5.7806035059006255,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,75.20895989792484,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,1868.332105569815,vlp,False,True,CustomSoftmax,VLPSilu,9,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,65464.990495061975,vlp,False,True,CustomSoftmax,VLPSilu,9,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,130847.33450955478,vlp,False,True,CustomSoftmax,VLPSilu,9,4,2,256,min
meta-llama/Llama-2-13b-hf,nlp,16044.512311719875,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,18.63655730438133,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.0168479145240665,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.264330048693085,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.210673864437238,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.247513773024392,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,7.006712111477174,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,142.95330299458004,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,2344.6067299649344,vlp,False,True,CustomSoftmax,VLPSilu,10,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,67719.26174454065,vlp,False,True,CustomSoftmax,VLPSilu,10,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,130247.12328798922,vlp,False,True,CustomSoftmax,VLPSilu,10,4,2,256,min
meta-llama/Llama-2-13b-hf,nlp,11816.395888516552,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,18.218559624068966,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.01486937979315,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.267046502424994,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.217355311722044,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.280671529249405,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,8.131001867328298,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,188.8695718268251,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,2532.5469425906526,vlp,False,True,CustomSoftmax,VLPSilu,11,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,69767.64109993224,vlp,False,True,CustomSoftmax,VLPSilu,11,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,132930.96353354093,vlp,False,True,CustomSoftmax,VLPSilu,11,4,2,256,min
meta-llama/Llama-2-13b-hf,nlp,10196.514991043432,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,18.183180298662258,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.205785702185601,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.396093036544901,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.33701368579961,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.412632344565788,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,8.884977018538354,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,208.1647314420608,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,2483.219877154634,vlp,False,True,CustomSoftmax,VLPSilu,12,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,68918.97361336129,vlp,False,True,CustomSoftmax,VLPSilu,12,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,129124.03687786245,vlp,False,True,CustomSoftmax,VLPSilu,12,4,2,256,min
