model,value,function_name,attn_fn,ffn_fn,attn_segments,attn_segment_0
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,24
