model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size
meta-llama/Llama-2-70b-hf,nlp,3263.810972789358,vlp,False,True,CustomSoftmax,VLPSilu,10.0,-3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,295.72832831865173,vlp,False,True,CustomSoftmax,VLPSilu,10.0,-2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,19.992701585021603,vlp,False,True,CustomSoftmax,VLPSilu,10.0,-1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,5.190667290470467,vlp,False,True,CustomSoftmax,VLPSilu,10.0,0.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.365485290211657,vlp,False,True,CustomSoftmax,VLPSilu,10.0,1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360577585977006,vlp,False,True,CustomSoftmax,VLPSilu,10.0,2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360500448946865,vlp,False,True,CustomSoftmax,VLPSilu,10.0,3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360733667853419,vlp,False,True,CustomSoftmax,VLPSilu,10.0,4.0,256.0
meta-llama/Llama-2-70b-hf,nlp,12149.532109145342,vlp,False,True,CustomSoftmax,VLPSilu,11.0,-4.0,256.0
meta-llama/Llama-2-70b-hf,nlp,3253.684298101497,vlp,False,True,CustomSoftmax,VLPSilu,11.0,-3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,296.21780423333166,vlp,False,True,CustomSoftmax,VLPSilu,11.0,-2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,19.98511545295113,vlp,False,True,CustomSoftmax,VLPSilu,11.0,-1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,5.19025962955074,vlp,False,True,CustomSoftmax,VLPSilu,11.0,0.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.365215297653578,vlp,False,True,CustomSoftmax,VLPSilu,11.0,1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360346204888608,vlp,False,True,CustomSoftmax,VLPSilu,11.0,2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.36051162589729,vlp,False,True,CustomSoftmax,VLPSilu,11.0,3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360623129307062,vlp,False,True,CustomSoftmax,VLPSilu,11.0,4.0,256.0
meta-llama/Llama-2-70b-hf,nlp,12155.058076251968,vlp,False,True,CustomSoftmax,VLPSilu,12.0,-4.0,256.0
meta-llama/Llama-2-70b-hf,nlp,3268.0813272135774,vlp,False,True,CustomSoftmax,VLPSilu,12.0,-3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,296.2297300129868,vlp,False,True,CustomSoftmax,VLPSilu,12.0,-2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,19.976405063736767,vlp,False,True,CustomSoftmax,VLPSilu,12.0,-1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,5.190590054294535,vlp,False,True,CustomSoftmax,VLPSilu,12.0,0.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.365320179645329,vlp,False,True,CustomSoftmax,VLPSilu,12.0,1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360358766332366,vlp,False,True,CustomSoftmax,VLPSilu,12.0,2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360487916821615,vlp,False,True,CustomSoftmax,VLPSilu,12.0,3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360476320754485,vlp,False,True,CustomSoftmax,VLPSilu,12.0,4.0,256.0
