model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build
meta-llama/Llama-3.1-70B,nlp,38.54501838419372,vlp,True,False,VLPSoftmax,CustomSilu,9.0,3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.52817661284849,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,18.541402594303456,vlp,True,False,VLPSoftmax,CustomSilu,10.0,0.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,8.938618711889173,vlp,True,False,VLPSoftmax,CustomSilu,10.0,1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,14.896457696930716,vlp,True,False,VLPSoftmax,CustomSilu,10.0,2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.69723692341597,vlp,True,False,VLPSoftmax,CustomSilu,10.0,3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.6783719905683,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,18.541402594303456,vlp,True,False,VLPSoftmax,CustomSilu,11.0,0.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,8.938769117849981,vlp,True,False,VLPSoftmax,CustomSilu,11.0,1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,14.896457696930716,vlp,True,False,VLPSoftmax,CustomSilu,11.0,2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.52910480653696,vlp,True,False,VLPSoftmax,CustomSilu,11.0,3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.85048470906801,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,18.541402594303456,vlp,True,False,VLPSoftmax,CustomSilu,12.0,0.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,8.938769117849981,vlp,True,False,VLPSoftmax,CustomSilu,12.0,1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,14.896457696930716,vlp,True,False,VLPSoftmax,CustomSilu,12.0,2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.52910480653696,vlp,True,False,VLPSoftmax,CustomSilu,12.0,3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.84501201007576,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-8.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,18.491801240553592,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-7.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,8.835062146278771,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-6.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,14.669672019344477,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-5.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.31972480232567,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-4.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,18.632469659847377,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-8.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,8.287985103666625,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-7.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,15.43499952046921,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-6.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.43802285583657,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-5.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.46212336319002,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-4.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,8.52521919169973,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-8.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,16.259819605454922,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-7.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,41.76854334303598,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-6.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.83772209540553,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-5.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.5865327065838,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-4.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,15.3467388462282,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-8.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,53.93949377388173,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-7.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,42.16032227154484,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-6.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.81949767090391,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-5.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.5865327065838,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-4.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,56.89078406908206,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-8.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,58.19343441926744,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-7.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,42.28502909976256,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-6.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.81891773879723,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-5.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.5865327065838,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-4.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.4712716564274,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-3.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.7516560059755,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,39.653457704415786,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,43.313450083168135,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,0.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,51.59011775292089,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,57.90021574980341,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.4712716564274,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-3.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.7516560059755,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,39.653457704415786,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,43.313450083168135,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,0.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,51.59011775292089,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,57.90021574980341,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.4712716564274,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-3.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.7516560059755,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,39.653457704415786,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,43.313450083168135,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,0.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,51.59011775292089,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,57.90021574980341,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.4712716564274,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-3.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.7516560059755,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,39.653457704415786,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,43.313450083168135,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,0.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,51.59011775292089,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,57.90021574980341,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.4712716564274,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-3.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,38.7516560059755,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-2.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,39.653457704415786,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,43.313450083168135,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,0.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,51.59011775292089,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,1.0,256.0,min
meta-llama/Llama-3.1-70B,nlp,57.90021574980341,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,2.0,256.0,min
