model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_lut_build,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-5.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-5.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-5.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,21452.12684282151,vlp,True,False,VLPSoftmax,CustomSilu,8.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,37941.786018042,vlp,True,False,VLPSoftmax,CustomSilu,8.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44084.784191574974,vlp,True,False,VLPSoftmax,CustomSilu,8.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44301.98365600273,vlp,True,False,VLPSoftmax,CustomSilu,8.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44332.1052269308,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,21451.95192470709,vlp,True,False,VLPSoftmax,CustomSilu,9.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,37943.73639152805,vlp,True,False,VLPSoftmax,CustomSilu,9.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44084.79890646166,vlp,True,False,VLPSoftmax,CustomSilu,9.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44294.40471464085,vlp,True,False,VLPSoftmax,CustomSilu,9.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44295.71636170281,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,21451.95192470709,vlp,True,False,VLPSoftmax,CustomSilu,10.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,37943.73639152805,vlp,True,False,VLPSoftmax,CustomSilu,10.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44084.94395346484,vlp,True,False,VLPSoftmax,CustomSilu,10.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44294.1554849688,vlp,True,False,VLPSoftmax,CustomSilu,10.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44288.29687952437,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,21451.95192470709,vlp,True,False,VLPSoftmax,CustomSilu,11.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,37943.73639152805,vlp,True,False,VLPSoftmax,CustomSilu,11.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44084.94395346484,vlp,True,False,VLPSoftmax,CustomSilu,11.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44294.48497534224,vlp,True,False,VLPSoftmax,CustomSilu,11.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44287.52606807687,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,21451.95192470709,vlp,True,False,VLPSoftmax,CustomSilu,12.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,37943.73639152805,vlp,True,False,VLPSoftmax,CustomSilu,12.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44084.94395346484,vlp,True,False,VLPSoftmax,CustomSilu,12.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44294.48497534224,vlp,True,False,VLPSoftmax,CustomSilu,12.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44288.18072899574,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,232445.49069728,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,221663.0272392888,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,258851.1400649391,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,191329.8952545807,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,232568.0994823041,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,-4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,222154.37580846183,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,-3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,255354.0308590565,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,-2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,190541.57195017487,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,-1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,232543.64795465724,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,-4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,221294.15543362,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,-3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,255042.6190241878,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,-2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,194255.1548256741,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,-1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,232583.74759116743,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,-4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,221487.38589135275,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,-3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,257182.09498489145,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,-2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,193713.75854729427,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,-1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,232335.2988732037,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,-4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,222770.69093115503,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,-3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,258583.63311689592,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,-2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,181582.8697339714,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,-1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,29.43986527569548,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,0.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.470885178843978,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.467167764491305,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.481979316108507,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.623334600172496,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,29.527606357527773,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,0.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.470648995745255,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.465296802491292,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.467712381647654,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.481444539126451,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,29.411349973964427,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,0.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.471591189961003,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.464356736751065,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.465870430668661,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.468067588149545,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,10.0,4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,29.46356818555365,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,0.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.471249398147945,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.464127922874561,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.464939681029683,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.465747478027769,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,11.0,4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,29.38300275101989,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,0.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.47028133265474,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,1.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.465535308272307,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,2.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.464825153045174,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,3.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.464346770766287,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,12.0,4.0,-4.0,max,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-8.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,21452.12684282151,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-7.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,37941.786018042,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-6.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44084.784191574974,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-5.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44301.98365600273,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-4.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44332.1052269308,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-3.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44484.17022127256,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44933.81848123481,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,46540.46334160099,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,0.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,48118.621492964754,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,21270.39822670048,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-8.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,38357.711358132176,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-7.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,45038.40087695512,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-6.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44394.01861640269,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-5.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44300.52184174706,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-4.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44332.1052269308,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-3.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44484.17022127256,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44933.81848123481,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,46540.46334160099,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,0.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,48118.621492964754,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,38631.41847951564,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-8.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,46332.405014628406,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-7.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,48491.60390132092,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-6.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44197.576983812,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-5.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44301.0161492624,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-4.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44332.1052269308,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-3.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44484.17022127256,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44933.81848123481,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,46540.46334160099,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,0.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,48118.621492964754,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,46697.17064796302,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-8.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,62639.35839687461,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-7.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,46981.94570431548,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-6.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44202.8060122743,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-5.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44301.0161492624,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-4.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44332.1052269308,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-3.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44484.17022127256,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44933.81848123481,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,46540.46334160099,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,0.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,48118.621492964754,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,65393.78465184207,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-8.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,59052.7228898042,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-7.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,47128.7939198327,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-6.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44202.8060122743,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-5.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44301.0161492624,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-4.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44332.1052269308,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-3.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44484.17022127256,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,44933.81848123481,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,46540.46334160099,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,0.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,48118.621492964754,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,1.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,2.0,256.0,min,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,618.0532603285575,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-8.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,33.50848225099185,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-7.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,9.86283891199618,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-6.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.991306690517934,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-5.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.634752960953357,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-4.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.623334600172496,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-3.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,8.73144662047862,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-2.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,647.1541436895428,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,-1.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,611047.4574133754,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,0.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,812539.9494776612,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,1.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,1200731.8924555853,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,2.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,250.558264755204,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,4.0,-8.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,32.18417007358088,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,4.0,-7.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,9.682730937801615,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,4.0,-6.0,min,256.0,,,,,,
meta-llama/Llama-3.1-8B,nlp,7.831495346789239,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,4.0,-5.0,min,256.0,,,,,,
